kind,mean_k,gamma,strategy,w,beta,rho0,rho,stderr
fig4,6,0.02,ti,0,0.35,0.3,0.53123123,0
fig4,6,0.02,ti,0.25,0.35,0.3,0.33993994,0
fig4,6,0.02,ti,0.5,0.35,0.3,0.083633634,0
fig4,6,0.02,ti,0.75,0.35,0.3,0.15015015,0
fig4,6,0.02,ti,1,0.35,0.3,0.048948949,0
fig4,6,0.02,random,0,0.35,0.3,0.53123123,0
fig4,6,0.02,random,0.25,0.35,0.3,0.44054054,0
fig4,6,0.02,random,0.5,0.35,0.3,0.043393393,0
fig4,6,0.02,random,0.75,0.35,0.3,0.10465465,0
fig4,6,0.02,random,1,0.35,0.3,0.080930931,0
fig4,6,0.02,si1,0,0.35,0.3,0.53123123,0
fig4,6,0.02,si1,0.25,0.35,0.3,0.034984985,0
fig4,6,0.02,si1,0.5,0.35,0.3,0.18603604,0
fig4,6,0.02,si1,0.75,0.35,0.3,0.034384384,0
fig4,6,0.02,si1,1,0.35,0.3,0.46006006,0
fig4,6,0.02,si2,0,0.35,0.3,0.53123123,0
fig4,6,0.02,si2,0.25,0.35,0.3,0.24594595,0
fig4,6,0.02,si2,0.5,0.35,0.3,0.033483483,0
fig4,6,0.02,si2,0.75,0.35,0.3,0.02027027,0
fig4,6,0.02,si2,1,0.35,0.3,0.26606607,0
fig4,6,0.02,si3,0,0.35,0.3,0.53123123,0
fig4,6,0.02,si3,0.25,0.35,0.3,0.23228228,0
fig4,6,0.02,si3,0.5,0.35,0.3,0.022222222,0
fig4,6,0.02,si3,0.75,0.35,0.3,0.1957958,0
fig4,6,0.02,si3,1,0.35,0.3,0.0055555556,0
fig4,9,0.02,ti,0,0.35,0.3,0.64429429,0
fig4,9,0.02,ti,0.25,0.35,0.3,0.56456456,0
fig4,9,0.02,ti,0.5,0.35,0.3,0.3996997,0
fig4,9,0.02,ti,0.75,0.35,0.3,0.18873874,0
fig4,9,0.02,ti,1,0.35,0.3,0.012312312,0
fig4,9,0.02,random,0,0.35,0.3,0.64429429,0
fig4,9,0.02,random,0.25,0.35,0.3,0.57312312,0
fig4,9,0.02,random,0.5,0.35,0.3,0.24039039,0
fig4,9,0.02,random,0.75,0.35,0.3,0.024474474,0
fig4,9,0.02,random,1,0.35,0.3,0.082432432,0
fig4,9,0.02,si1,0,0.35,0.3,0.64429429,0
fig4,9,0.02,si1,0.25,0.35,0.3,0.56951952,0
fig4,9,0.02,si1,0.5,0.35,0.3,0.0076576577,0
fig4,9,0.02,si1,0.75,0.35,0.3,0.034084084,0
fig4,9,0.02,si1,1,0.35,0.3,0.0072072072,0
fig4,9,0.02,si2,0,0.35,0.3,0.64429429,0
fig4,9,0.02,si2,0.25,0.35,0.3,0.56096096,0
fig4,9,0.02,si2,0.5,0.35,0.3,0.30045045,0
fig4,9,0.02,si2,0.75,0.35,0.3,0.064114114,0
fig4,9,0.02,si2,1,0.35,0.3,0.077027027,0
fig4,9,0.02,si3,0,0.35,0.3,0.64429429,0
fig4,9,0.02,si3,0.25,0.35,0.3,0.53663664,0
fig4,9,0.02,si3,0.5,0.35,0.3,0.39384384,0
fig4,9,0.02,si3,0.75,0.35,0.3,0.039489489,0
fig4,9,0.02,si3,1,0.35,0.3,0.012312312,0
fig4,6,0.03,ti,0,0.35,0.3,0.57987988,0
fig4,6,0.03,ti,0.25,0.35,0.3,0.46891892,0
fig4,6,0.03,ti,0.5,0.35,0.3,0.070720721,0
fig4,6,0.03,ti,0.75,0.35,0.3,0.07042042,0
fig4,6,0.03,ti,1,0.35,0.3,0.012762763,0
fig4,6,0.03,random,0,0.35,0.3,0.57987988,0
fig4,6,0.03,random,0.25,0.35,0.3,0.41261261,0
fig4,6,0.03,random,0.5,0.35,0.3,0.021771772,0
fig4,6,0.03,random,0.75,0.35,0.3,0.017267267,0
fig4,6,0.03,random,1,0.35,0.3,0.0099099099,0
fig4,6,0.03,si1,0,0.35,0.3,0.57987988,0
fig4,6,0.03,si1,0.25,0.35,0.3,0.53138138,0
fig4,6,0.03,si1,0.5,0.35,0.3,0.17207207,0
fig4,6,0.03,si1,0.75,0.35,0.3,0.10285285,0
fig4,6,0.03,si1,1,0.35,0.3,0.28408408,0
fig4,6,0.03,si2,0,0.35,0.3,0.57987988,0
fig4,6,0.03,si2,0.25,0.35,0.3,0.52042042,0
fig4,6,0.03,si2,0.5,0.35,0.3,0.033933934,0
fig4,6,0.03,si2,0.75,0.35,0.3,0.0078078078,0
fig4,6,0.03,si2,1,0.35,0.3,0.034234234,0
fig4,6,0.03,si3,0,0.35,0.3,0.57987988,0
fig4,6,0.03,si3,0.25,0.35,0.3,0.51606607,0
fig4,6,0.03,si3,0.5,0.35,0.3,0.36501502,0
fig4,6,0.03,si3,0.75,0.35,0.3,0.017267267,0
fig4,6,0.03,si3,1,0.35,0.3,0.010810811,0
fig4,9,0.03,ti,0,0.35,0.3,0.69384384,0
fig4,9,0.03,ti,0.25,0.35,0.3,0.6478979,0
fig4,9,0.03,ti,0.5,0.35,0.3,0.53843844,0
fig4,9,0.03,ti,0.75,0.35,0.3,0.034534535,0
fig4,9,0.03,ti,1,0.35,0.3,0.067117117,0
fig4,9,0.03,random,0,0.35,0.3,0.69384384,0
fig4,9,0.03,random,0.25,0.35,0.3,0.65045045,0
fig4,9,0.03,random,0.5,0.35,0.3,0.42822823,0
fig4,9,0.03,random,0.75,0.35,0.3,0.045195195,0
fig4,9,0.03,random,1,0.35,0.3,0.037537538,0
fig4,9,0.03,si1,0,0.35,0.3,0.69384384,0
fig4,9,0.03,si1,0.25,0.35,0.3,0.61786787,0
fig4,9,0.03,si1,0.5,0.35,0.3,0.46081081,0
fig4,9,0.03,si1,0.75,0.35,0.3,0.15720721,0
fig4,9,0.03,si1,1,0.35,0.3,0.34144144,0
fig4,9,0.03,si2,0,0.35,0.3,0.69384384,0
fig4,9,0.03,si2,0.25,0.35,0.3,0.58933934,0
fig4,9,0.03,si2,0.5,0.35,0.3,0.45690691,0
fig4,9,0.03,si2,0.75,0.35,0.3,0.25855856,0
fig4,9,0.03,si2,1,0.35,0.3,0.067267267,0
fig4,9,0.03,si3,0,0.35,0.3,0.69384384,0
fig4,9,0.03,si3,0.25,0.35,0.3,0.59714715,0
fig4,9,0.03,si3,0.5,0.35,0.3,0.46396396,0
fig4,9,0.03,si3,0.75,0.35,0.3,0.046996997,0
fig4,9,0.03,si3,1,0.35,0.3,0.11246246,0
fig5_scan,6,0.02,ti,0,0.25,0.3,0.3012012,0
fig5_scan,6,0.02,ti,0.2,0.25,0.3,0.20975976,0
fig5_scan,6,0.02,ti,0.4,0.25,0.3,0.2472973,0
fig5_scan,6,0.02,ti,0.6,0.25,0.3,0.12597598,0
fig5_scan,6,0.02,ti,0.8,0.25,0.3,0.032582583,0
fig5_scan,6,0.02,ti,1,0.25,0.3,0.030930931,0
fig5_wc,6,0.02,ti,1,0.25,0.3,,
fig5_scan,6,0.02,ti,0,0.3,0.3,0.47777778,0
fig5_scan,6,0.02,ti,0.2,0.3,0.3,0.068018018,0
fig5_scan,6,0.02,ti,0.4,0.3,0.3,0.31516517,0
fig5_scan,6,0.02,ti,0.6,0.3,0.3,0.045495495,0
fig5_scan,6,0.02,ti,0.8,0.3,0.3,0.12717718,0
fig5_scan,6,0.02,ti,1,0.3,0.3,0.056456456,0
fig5_wc,6,0.02,ti,1,0.3,0.3,,
fig5_scan,6,0.02,ti,0,0.35,0.3,0.51651652,0
fig5_scan,6,0.02,ti,0.2,0.35,0.3,0.4451952,0
fig5_scan,6,0.02,ti,0.4,0.35,0.3,0.30795796,0
fig5_scan,6,0.02,ti,0.6,0.35,0.3,0.024924925,0
fig5_scan,6,0.02,ti,0.8,0.35,0.3,0.23003003,0
fig5_scan,6,0.02,ti,1,0.35,0.3,0.05,0
fig5_wc,6,0.02,ti,1,0.35,0.3,,
fig5_scan,6,0.02,ti,0,0.4,0.3,0.59054054,0
fig5_scan,6,0.02,ti,0.2,0.4,0.3,0.44084084,0
fig5_scan,6,0.02,ti,0.4,0.4,0.3,0.1990991,0
fig5_scan,6,0.02,ti,0.6,0.4,0.3,0.011261261,0
fig5_wc,6,0.02,ti,0.6,0.4,0.3,,
fig5_scan,6,0.02,random,0,0.25,0.3,0.3012012,0
fig5_scan,6,0.02,random,0.2,0.25,0.3,0.078678679,0
fig5_scan,6,0.02,random,0.4,0.25,0.3,0.093243243,0
fig5_scan,6,0.02,random,0.6,0.25,0.3,0.012762763,0
fig5_wc,6,0.02,random,0.6,0.25,0.3,,
fig5_scan,6,0.02,random,0,0.3,0.3,0.47777778,0
fig5_scan,6,0.02,random,0.2,0.3,0.3,0.48888889,0
fig5_scan,6,0.02,random,0.4,0.3,0.3,0.20570571,0
fig5_scan,6,0.02,random,0.6,0.3,0.3,0.2521021,0
fig5_scan,6,0.02,random,0.8,0.3,0.3,0.020570571,0
fig5_scan,6,0.02,random,1,0.3,0.3,0.019219219,0
fig5_wc,6,0.02,random,1,0.3,0.3,,
fig5_scan,6,0.02,random,0,0.35,0.3,0.51651652,0
fig5_scan,6,0.02,random,0.2,0.35,0.3,0.19954955,0
fig5_scan,6,0.02,random,0.4,0.35,0.3,0.16246246,0
fig5_scan,6,0.02,random,0.6,0.35,0.3,0.10765766,0
fig5_scan,6,0.02,random,0.8,0.35,0.3,0.048348348,0
fig5_scan,6,0.02,random,1,0.35,0.3,0.048948949,0
fig5_wc,6,0.02,random,1,0.35,0.3,,
fig5_scan,6,0.02,random,0,0.4,0.3,0.59054054,0
fig5_scan,6,0.02,random,0.2,0.4,0.3,0.35105105,0
fig5_scan,6,0.02,random,0.4,0.4,0.3,0.031681682,0
fig5_scan,6,0.02,random,0.6,0.4,0.3,0.017267267,0
fig5_wc,6,0.02,random,0.6,0.4,0.3,,
fig5_scan,6,0.02,si1,0,0.25,0.3,0.3012012,0
fig5_scan,6,0.02,si1,0.2,0.25,0.3,0.071021021,0
fig5_scan,6,0.02,si1,0.4,0.25,0.3,0.42132132,0
fig5_scan,6,0.02,si1,0.6,0.25,0.3,0.071471471,0
fig5_scan,6,0.02,si1,0.8,0.25,0.3,0.0067567568,0
fig5_wc,6,0.02,si1,0.8,0.25,0.3,,
fig5_scan,6,0.02,si1,0,0.3,0.3,0.47777778,0
fig5_scan,6,0.02,si1,0.2,0.3,0.3,0.4984985,0
fig5_scan,6,0.02,si1,0.4,0.3,0.3,0.4021021,0
fig5_scan,6,0.02,si1,0.6,0.3,0.3,0.1506006,0
fig5_scan,6,0.02,si1,0.8,0.3,0.3,0.017417417,0
fig5_wc,6,0.02,si1,0.8,0.3,0.3,,
fig5_scan,6,0.02,si1,0,0.35,0.3,0.51651652,0
fig5_scan,6,0.02,si1,0.2,0.35,0.3,0.059159159,0
fig5_scan,6,0.02,si1,0.4,0.35,0.3,0.2039039,0
fig5_scan,6,0.02,si1,0.6,0.35,0.3,0.5021021,0
fig5_scan,6,0.02,si1,0.8,0.35,0.3,0.029429429,0
fig5_scan,6,0.02,si1,1,0.35,0.3,0.016066066,0
fig5_wc,6,0.02,si1,1,0.35,0.3,,
fig5_scan,6,0.02,si1,0,0.4,0.3,0.59054054,0
fig5_scan,6,0.02,si1,0.2,0.4,0.3,0.43573574,0
fig5_scan,6,0.02,si1,0.4,0.4,0.3,0.013363363,0
fig5_wc,6,0.02,si1,0.4,0.4,0.3,,
fig5_scan,6,0.02,si2,0,0.25,0.3,0.3012012,0
fig5_scan,6,0.02,si2,0.2,0.25,0.3,0.066216216,0
fig5_scan,6,0.02,si2,0.4,0.25,0.3,0.017117117,0
fig5_wc,6,0.02,si2,0.4,0.25,0.3,,
fig5_scan,6,0.02,si2,0,0.3,0.3,0.47777778,0
fig5_scan,6,0.02,si2,0.2,0.3,0.3,0.17852853,0
fig5_scan,6,0.02,si2,0.4,0.3,0.3,0.0064564565,0
fig5_wc,6,0.02,si2,0.4,0.3,0.3,,
fig5_scan,6,0.02,si2,0,0.35,0.3,0.51651652,0
fig5_scan,6,0.02,si2,0.2,0.35,0.3,0.28633634,0
fig5_scan,6,0.02,si2,0.4,0.35,0.3,0.042642643,0
fig5_scan,6,0.02,si2,0.6,0.35,0.3,0.33078078,0
fig5_scan,6,0.02,si2,0.8,0.35,0.3,0.10375375,0
fig5_scan,6,0.02,si2,1,0.35,0.3,0.023573574,0
fig5_wc,6,0.02,si2,1,0.35,0.3,,
fig5_scan,6,0.02,si2,0,0.4,0.3,0.59054054,0
fig5_scan,6,0.02,si2,0.2,0.4,0.3,0.45075075,0
fig5_scan,6,0.02,si2,0.4,0.4,0.3,0.42162162,0
fig5_scan,6,0.02,si2,0.6,0.4,0.3,0.026876877,0
fig5_scan,6,0.02,si2,0.8,0.4,0.3,0.0057057057,0
fig5_wc,6,0.02,si2,0.8,0.4,0.3,,
fig5_scan,6,0.02,si3,0,0.25,0.3,0.3012012,0
fig5_scan,6,0.02,si3,0.2,0.25,0.3,0.03993994,0
fig5_scan,6,0.02,si3,0.4,0.25,0.3,0.33048048,0
fig5_scan,6,0.02,si3,0.6,0.25,0.3,0.11876877,0
fig5_scan,6,0.02,si3,0.8,0.25,0.3,0.13498498,0
fig5_scan,6,0.02,si3,1,0.25,0.3,0.22177177,0
fig5_wc,6,0.02,si3,1,0.25,0.3,,
fig5_scan,6,0.02,si3,0,0.3,0.3,0.47777778,0
fig5_scan,6,0.02,si3,0.2,0.3,0.3,0.024474474,0
fig5_scan,6,0.02,si3,0.4,0.3,0.3,0.026576577,0
fig5_scan,6,0.02,si3,0.6,0.3,0.3,0.081681682,0
fig5_scan,6,0.02,si3,0.8,0.3,0.3,0.11486486,0
fig5_scan,6,0.02,si3,1,0.3,0.3,0.10345345,0
fig5_wc,6,0.02,si3,1,0.3,0.3,,
fig5_scan,6,0.02,si3,0,0.35,0.3,0.51651652,0
fig5_scan,6,0.02,si3,0.2,0.35,0.3,0.39954955,0
fig5_scan,6,0.02,si3,0.4,0.35,0.3,0.023423423,0
fig5_scan,6,0.02,si3,0.6,0.35,0.3,0.096396396,0
fig5_scan,6,0.02,si3,0.8,0.35,0.3,0.051801802,0
fig5_scan,6,0.02,si3,1,0.35,0.3,0.05,0
fig5_wc,6,0.02,si3,1,0.35,0.3,,
fig5_scan,6,0.02,si3,0,0.4,0.3,0.59054054,0
fig5_scan,6,0.02,si3,0.2,0.4,0.3,0.41921922,0
fig5_scan,6,0.02,si3,0.4,0.4,0.3,0.32657658,0
fig5_scan,6,0.02,si3,0.6,0.4,0.3,0.25135135,0
fig5_scan,6,0.02,si3,0.8,0.4,0.3,0.021771772,0
fig5_scan,6,0.02,si3,1,0.4,0.3,0.025225225,0
fig5_wc,6,0.02,si3,1,0.4,0.3,,
fig5_scan,6,0.02,ti,0,0.25,0.5,0.37132132,0
fig5_scan,6,0.02,ti,0.2,0.25,0.5,0.37627628,0
fig5_scan,6,0.02,ti,0.4,0.25,0.5,0.22942943,0
fig5_scan,6,0.02,ti,0.6,0.25,0.5,0.028528529,0
fig5_scan,6,0.02,ti,0.8,0.25,0.5,0.12147147,0
fig5_scan,6,0.02,ti,1,0.25,0.5,0.018468468,0
fig5_wc,6,0.02,ti,1,0.25,0.5,,
fig5_scan,6,0.02,ti,0,0.3,0.5,0.42282282,0
fig5_scan,6,0.02,ti,0.2,0.3,0.5,0.36441441,0
fig5_scan,6,0.02,ti,0.4,0.3,0.5,0.15780781,0
fig5_scan,6,0.02,ti,0.6,0.3,0.5,0.018918919,0
fig5_wc,6,0.02,ti,0.6,0.3,0.5,,
fig5_scan,6,0.02,ti,0,0.35,0.5,0.52282282,0
fig5_scan,6,0.02,ti,0.2,0.35,0.5,0.47072072,0
fig5_scan,6,0.02,ti,0.4,0.35,0.5,0.16291291,0
fig5_scan,6,0.02,ti,0.6,0.35,0.5,0.019069069,0
fig5_wc,6,0.02,ti,0.6,0.35,0.5,,
fig5_scan,6,0.02,ti,0,0.4,0.5,0.52627628,0
fig5_scan,6,0.02,ti,0.2,0.4,0.5,0.41966967,0
fig5_scan,6,0.02,ti,0.4,0.4,0.5,0.31036036,0
fig5_scan,6,0.02,ti,0.6,0.4,0.5,0.042792793,0
fig5_scan,6,0.02,ti,0.8,0.4,0.5,0.011261261,0
fig5_wc,6,0.02,ti,0.8,0.4,0.5,,
fig5_scan,6,0.02,random,0,0.25,0.5,0.37132132,0
fig5_scan,6,0.02,random,0.2,0.25,0.5,0.33333333,0
fig5_scan,6,0.02,random,0.4,0.25,0.5,0.32702703,0
fig5_scan,6,0.02,random,0.6,0.25,0.5,0.0066066066,0
fig5_wc,6,0.02,random,0.6,0.25,0.5,,
fig5_scan,6,0.02,random,0,0.3,0.5,0.42282282,0
fig5_scan,6,0.02,random,0.2,0.3,0.5,0.11006006,0
fig5_scan,6,0.02,random,0.4,0.3,0.5,0.06951952,0
fig5_scan,6,0.02,random,0.6,0.3,0.5,0.16996997,0
fig5_scan,6,0.02,random,0.8,0.3,0.5,0.04984985,0
fig5_scan,6,0.02,random,1,0.3,0.5,0.17567568,0
fig5_wc,6,0.02,random,1,0.3,0.5,,
fig5_scan,6,0.02,random,0,0.35,0.5,0.52282282,0
fig5_scan,6,0.02,random,0.2,0.35,0.5,0.033483483,0
fig5_scan,6,0.02,random,0.4,0.35,0.5,0.038888889,0
fig5_scan,6,0.02,random,0.6,0.35,0.5,0.33978979,0
fig5_scan,6,0.02,random,0.8,0.35,0.5,0.0097597598,0
fig5_wc,6,0.02,random,0.8,0.35,0.5,,
fig5_scan,6,0.02,random,0,0.4,0.5,0.52627628,0
fig5_scan,6,0.02,random,0.2,0.4,0.5,0.21006006,0
fig5_scan,6,0.02,random,0.4,0.4,0.5,0.43183183,0
fig5_scan,6,0.02,random,0.6,0.4,0.5,0.0055555556,0
fig5_wc,6,0.02,random,0.6,0.4,0.5,,
fig5_scan,6,0.02,si1,0,0.25,0.5,0.37132132,0
fig5_scan,6,0.02,si1,0.2,0.25,0.5,0.097447447,0
fig5_scan,6,0.02,si1,0.4,0.25,0.5,0.027627628,0
fig5_scan,6,0.02,si1,0.6,0.25,0.5,0.057657658,0
fig5_scan,6,0.02,si1,0.8,0.25,0.5,0.10585586,0
fig5_scan,6,0.02,si1,1,0.25,0.5,0.045195195,0
fig5_wc,6,0.02,si1,1,0.25,0.5,,
fig5_scan,6,0.02,si1,0,0.3,0.5,0.42282282,0
fig5_scan,6,0.02,si1,0.2,0.3,0.5,0.41756757,0
fig5_scan,6,0.02,si1,0.4,0.3,0.5,0.25225225,0
fig5_scan,6,0.02,si1,0.6,0.3,0.5,0.12402402,0
fig5_scan,6,0.02,si1,0.8,0.3,0.5,0.12462462,0
fig5_scan,6,0.02,si1,1,0.3,0.5,0.20570571,0
fig5_wc,6,0.02,si1,1,0.3,0.5,,
fig5_scan,6,0.02,si1,0,0.35,0.5,0.52282282,0
fig5_scan,6,0.02,si1,0.2,0.35,0.5,0.37972973,0
fig5_scan,6,0.02,si1,0.4,0.35,0.5,0.24774775,0
fig5_scan,6,0.02,si1,0.6,0.35,0.5,0.029429429,0
fig5_scan,6,0.02,si1,0.8,0.35,0.5,0.048198198,0
fig5_scan,6,0.02,si1,1,0.35,0.5,0.04039039,0
fig5_wc,6,0.02,si1,1,0.35,0.5,,
fig5_scan,6,0.02,si1,0,0.4,0.5,0.52627628,0
fig5_scan,6,0.02,si1,0.2,0.4,0.5,0.20600601,0
fig5_scan,6,0.02,si1,0.4,0.4,0.5,0.18213213,0
fig5_scan,6,0.02,si1,0.6,0.4,0.5,0.11681682,0
fig5_scan,6,0.02,si1,0.8,0.4,0.5,0.11666667,0
fig5_scan,6,0.02,si1,1,0.4,0.5,0.065165165,0
fig5_wc,6,0.02,si1,1,0.4,0.5,,
fig5_scan,6,0.02,si2,0,0.25,0.5,0.37132132,0
fig5_scan,6,0.02,si2,0.2,0.25,0.5,0.067117117,0
fig5_scan,6,0.02,si2,0.4,0.25,0.5,0.023423423,0
fig5_scan,6,0.02,si2,0.6,0.25,0.5,0.13798799,0
fig5_scan,6,0.02,si2,0.8,0.25,0.5,0.10990991,0
fig5_scan,6,0.02,si2,1,0.25,0.5,0.13618619,0
fig5_wc,6,0.02,si2,1,0.25,0.5,,
fig5_scan,6,0.02,si2,0,0.3,0.5,0.42282282,0
fig5_scan,6,0.02,si2,0.2,0.3,0.5,0.22237237,0
fig5_scan,6,0.02,si2,0.4,0.3,0.5,0.27417417,0
fig5_scan,6,0.02,si2,0.6,0.3,0.5,0.071321321,0
fig5_scan,6,0.02,si2,0.8,0.3,0.5,0.059459459,0
fig5_scan,6,0.02,si2,1,0.3,0.5,0.038138138,0
fig5_wc,6,0.02,si2,1,0.3,0.5,,
fig5_scan,6,0.02,si2,0,0.35,0.5,0.52282282,0
fig5_scan,6,0.02,si2,0.2,0.35,0.5,0.34144144,0
fig5_scan,6,0.02,si2,0.4,0.35,0.5,0.10135135,0
fig5_scan,6,0.02,si2,0.6,0.35,0.5,0.23363363,0
fig5_scan,6,0.02,si2,0.8,0.35,0.5,0.196997,0
fig5_scan,6,0.02,si2,1,0.35,0.5,0.17882883,0
fig5_wc,6,0.02,si2,1,0.35,0.5,,
fig5_scan,6,0.02,si2,0,0.4,0.5,0.52627628,0
fig5_scan,6,0.02,si2,0.2,0.4,0.5,0.40795796,0
fig5_scan,6,0.02,si2,0.4,0.4,0.5,0.34339339,0
fig5_scan,6,0.02,si2,0.6,0.4,0.5,0.018618619,0
fig5_wc,6,0.02,si2,0.6,0.4,0.5,,
fig5_scan,6,0.02,si3,0,0.25,0.5,0.37132132,0
fig5_scan,6,0.02,si3,0.2,0.25,0.5,0.023273273,0
fig5_scan,6,0.02,si3,0.4,0.25,0.5,0.011561562,0
fig5_wc,6,0.02,si3,0.4,0.25,0.5,,
fig5_scan,6,0.02,si3,0,0.3,0.5,0.42282282,0
fig5_scan,6,0.02,si3,0.2,0.3,0.5,0.45600601,0
fig5_scan,6,0.02,si3,0.4,0.3,0.5,0.346997,0
fig5_scan,6,0.02,si3,0.6,0.3,0.5,0.10720721,0
fig5_scan,6,0.02,si3,0.8,0.3,0.5,0.22012012,0
fig5_scan,6,0.02,si3,1,0.3,0.5,0.042342342,0
fig5_wc,6,0.02,si3,1,0.3,0.5,,
fig5_scan,6,0.02,si3,0,0.35,0.5,0.52282282,0
fig5_scan,6,0.02,si3,0.2,0.35,0.5,0.16216216,0
fig5_scan,6,0.02,si3,0.4,0.35,0.5,0.072372372,0
fig5_scan,6,0.02,si3,0.6,0.35,0.5,0.074324324,0
fig5_scan,6,0.02,si3,0.8,0.35,0.5,0.018318318,0
fig5_wc,6,0.02,si3,0.8,0.35,0.5,,
fig5_scan,6,0.02,si3,0,0.4,0.5,0.52627628,0
fig5_scan,6,0.02,si3,0.2,0.4,0.5,0.45615616,0
fig5_scan,6,0.02,si3,0.4,0.4,0.5,0.36411411,0
fig5_scan,6,0.02,si3,0.6,0.4,0.5,0.24534535,0
fig5_scan,6,0.02,si3,0.8,0.4,0.5,0.006006006,0
fig5_wc,6,0.02,si3,0.8,0.4,0.5,,
